practitioner_role_id,location_id,location_reference
cfcb6b11-2424-4adc-af38-b3fdf42531a0,dadfc6ea-9035-4019-8dfe-46ed0c02196d,Location/dadfc6ea-9035-4019-8dfe-46ed0c02196d
cfcb6b11-2424-4adc-af38-b3fdf42531a0,461c23f4-ebdf-4eda-85e4-699e48a64bbc,Location/461c23f4-ebdf-4eda-85e4-699e48a64bbc
cfcb6b11-2424-4adc-af38-b3fdf42531a0,c47192be-9d5e-467a-ad2f-f6048b68b174,Location/c47192be-9d5e-467a-ad2f-f6048b68b174
cfcb6b11-2424-4adc-af38-b3fdf42531a0,9b178db3-ade3-49ef-b284-c3fbbf5d76d6,Location/9b178db3-ade3-49ef-b284-c3fbbf5d76d6
cfcb6b11-2424-4adc-af38-b3fdf42531a0,1e1fef25-975d-4c49-a39e-7b7c04c24c66,Location/1e1fef25-975d-4c49-a39e-7b7c04c24c66
1bec3689-c0a6-419e-82e3-3f2b8ff75af7,059862b7-5489-443b-bedf-0ca9ae8ee7f7,Location/059862b7-5489-443b-bedf-0ca9ae8ee7f7
1bec3689-c0a6-419e-82e3-3f2b8ff75af7,f523678a-6c22-4112-831c-0d9b4e431230,Location/f523678a-6c22-4112-831c-0d9b4e431230
1bec3689-c0a6-419e-82e3-3f2b8ff75af7,e2279d9f-a862-4bdc-a099-205bd1298388,Location/e2279d9f-a862-4bdc-a099-205bd1298388
1bec3689-c0a6-419e-82e3-3f2b8ff75af7,8c0fb3c1-966b-4006-a8cd-86d89ced12ad,Location/8c0fb3c1-966b-4006-a8cd-86d89ced12ad
1bec3689-c0a6-419e-82e3-3f2b8ff75af7,c81433fa-5c34-4591-9c1f-c3b3cd6ab338,Location/c81433fa-5c34-4591-9c1f-c3b3cd6ab338
1bec3689-c0a6-419e-82e3-3f2b8ff75af7,eb562e1d-ebc7-492a-af54-0ccd0b3d432d,Location/eb562e1d-ebc7-492a-af54-0ccd0b3d432d
1bec3689-c0a6-419e-82e3-3f2b8ff75af7,7ee5e362-6295-4ea7-a840-c1d492998d93,Location/7ee5e362-6295-4ea7-a840-c1d492998d93
1bec3689-c0a6-419e-82e3-3f2b8ff75af7,dadfc6ea-9035-4019-8dfe-46ed0c02196d,Location/dadfc6ea-9035-4019-8dfe-46ed0c02196d
1bec3689-c0a6-419e-82e3-3f2b8ff75af7,188f9130-6412-40b5-8492-0fa6a9a1ca93,Location/188f9130-6412-40b5-8492-0fa6a9a1ca93
1bec3689-c0a6-419e-82e3-3f2b8ff75af7,461c23f4-ebdf-4eda-85e4-699e48a64bbc,Location/461c23f4-ebdf-4eda-85e4-699e48a64bbc
48b74471-daaf-4ae8-a159-bfc4c96b2fef,7fc65956-58cc-477b-86f7-bc5200dfb219,Location/7fc65956-58cc-477b-86f7-bc5200dfb219
e84747b8-d10e-4a94-94c7-a4ad4949a471,afed0e57-e2c5-41b2-901f-c6c8f6734747,Location/afed0e57-e2c5-41b2-901f-c6c8f6734747
01c4128b-fd44-46d6-ac69-f51e3dee6fa3,613e120b-bde8-4f39-8075-963fc239d6d8,Location/613e120b-bde8-4f39-8075-963fc239d6d8
ec0116f0-2b0b-4fbb-bcbe-3b23aaf4726b,059862b7-5489-443b-bedf-0ca9ae8ee7f7,Location/059862b7-5489-443b-bedf-0ca9ae8ee7f7
ec0116f0-2b0b-4fbb-bcbe-3b23aaf4726b,a9eaf66e-c602-467a-a1db-b6e2c766f009,Location/a9eaf66e-c602-467a-a1db-b6e2c766f009
713c9ef1-fade-4d16-bc0b-5bd18ef55ffd,ad0f9453-69e7-41f3-b795-f983605917f7,Location/ad0f9453-69e7-41f3-b795-f983605917f7
574f34f7-ee50-436e-913d-2fba7d270f57,e3480a92-3c1a-451c-946f-c337eb7920ed,Location/e3480a92-3c1a-451c-946f-c337eb7920ed
574f34f7-ee50-436e-913d-2fba7d270f57,f149ba6c-b992-4ad0-a6c2-f343b4140dd6,Location/f149ba6c-b992-4ad0-a6c2-f343b4140dd6
02c2aa1f-8a42-4bec-942b-ec6cf81582c0,711130b7-873d-4dbf-8bb5-8139c528642c,Location/711130b7-873d-4dbf-8bb5-8139c528642c
644f297f-5712-4b76-af4c-d9796046212f,da0843bb-0fe4-40df-842f-d7240a7c4de1,Location/da0843bb-0fe4-40df-842f-d7240a7c4de1
644f297f-5712-4b76-af4c-d9796046212f,17c9d3c8-0ee9-4deb-b7a3-4dccec1232af,Location/17c9d3c8-0ee9-4deb-b7a3-4dccec1232af
644f297f-5712-4b76-af4c-d9796046212f,220d924f-3a13-4b2b-b675-b1d95cef6942,Location/220d924f-3a13-4b2b-b675-b1d95cef6942
069d2b72-54b8-4e50-8da5-4556c478d577,8fe89a23-a473-43bd-924e-19cbcc91f338,Location/8fe89a23-a473-43bd-924e-19cbcc91f338
